Recipient,Type,LAD24CD,Main Discipline,number,funding
Association for Cultural Enterprises,IPSO,E06000047,Not discipline specific,1,201643
Ballet Lorent Limited,NPO,E08000021,Dance,1,537327
Baltic Flour Mills Visual Arts Trust,NPO,E08000037,Visual arts,1,3037975
Beamish Museum,NPO,E06000047,Museums,1,444813
Berwick Film & Media Arts Festival,NPO,E06000057,Visual arts,1,125288
Bloodaxe Books Ltd,NPO,E06000057,Literature,1,110000
Company of Others,NPO,E08000021,Dance,1,220000
Dance City,NPO,E08000021,Dance,1,564048
Durham County Council,NPO,E06000047,Combined arts,1,532636
Gem Arts,NPO,E08000037,Combined arts,1,202208
Generator North East,NPO,E08000021,Music,1,158922
Headway Arts,NPO,E06000057,Combined arts,1,96000
Helix Arts Ltd,NPO,E08000022,Combined arts,1,195335
Inpress Ltd,IPSO,E08000021,Literature,1,161405
Jarrow Hall,NPO,E08000023,Museums,1,125000
Mortal Fools,NPO,E06000057,Theatre,1,180000
National Youth Choirs of Great Britain,NPO,E06000047,Music,1,108017
New Writing North,NPO,E08000021,Literature,1,428234
North East Theatre Trust Ltd,NPO,E08000021,Theatre,1,638255
North Music Trust,NPO,E08000037,Music,1,3576745
Northern Heartlands,NPO,E06000047,Combined arts,1,100000
Northern Print,NPO,E08000021,Visual arts,1,108610
Northern Stage (Theatrical Productions) Ltd,NPO,E08000021,Theatre,1,1591246
November Club,NPO,E06000057,Theatre,1,132530
Open Clasp Theatre Company,NPO,E08000021,Theatre,1,180301
Queen's Hall Arts,NPO,E06000057,Combined arts,1,120321
Redhills CIO,NPO,E06000047,Combined arts,1,150000
"Seven Stories, The National Centre for Children's Books",NPO,E08000021,Museums,1,588230
South Tyneside Council,NPO,E08000023,Libraries,1,125000
Southpaw Dance Productions,NPO,E08000024,Dance,1,230000
Sunderland Culture,NPO,E08000024,Combined arts,1,634200
Surface Area Dance Theatre CIC,NPO,E08000024,Dance,1,209636
TIN Arts,NPO,E06000047,Dance,1,202952
The Bowes Museum,NPO,E06000047,Museums,1,374572
The Customs House,NPO,E08000023,Combined arts,1,204000
The Forge,NPO,E06000047,Combined arts,1,89054
The Lawnmowers Independent Theatre Company,NPO,E08000037,Theatre,1,62120
The Maltings Berwick Trust Limited,NPO,E06000057,Combined arts,1,179633
The NewBridge Project,NPO,E08000021,Visual arts,1,71288
Tyne & Wear Archives & Museums,NPO,E08000021,Museums,1,3357648
Unfolding Theatre,NPO,E08000021,Theatre,1,106932
Vane Contemporary Art Limited,NPO,E08000037,Visual arts,1,61517
Woodhorn Charitable Trust,NPO,E06000057,Museums,1,346680
a-n The Artists Information Company,NPO,E08000021,Visual arts,1,216669
