Date,Afternoon Tea,Film Screening,Footfall,Learning & Community,Performance,Storytime,Workshop/Event
2023-09-23,28.0,53.0,2731,130,,617,174
2023-10-23,121.0,,5152,77,,355,110
2023-11-23,11.0,,6463,15,31.0,114,17
2023-12-23,74.0,,4156,58,56.0,83,26
2024-01-23,,,1655,64,,446,135
2024-02-23,90.0,,5680,93,119.0,1214,996
2024-03-23,65.0,,5376,115,65.0,1013,168
2024-04-23,13.0,,7322,468,,1560,1236
2024-05-23,16.0,,5494,55,300.0,1096,626
2024-06-23,1.0,,3529,67,,628,131
2024-07-23,30.0,,5352,337,,840,453
2024-08-23,,,6814,227,64.0,394,1677
2024-09-23,3.0,,4579,83,,733,243
