Recipient Org:Name,Number,Amount Awarded
Amber Film & Photography Collective,4,740031
Amberside Trust,1,0
Ballet Lorent,1,90000
Beacon Films CIC,2,129250
Benfield School - NEAT,2,63466
Building Self-belief CIO,1,1500
Cap-A-Pie Engagements,2,19991
Cap-a-Pie,1,149000
Chilli Studios (Newcastle and Gateshead Arts Studio) Limited,1,28600
Common Room of the Great North,1,35000
Connected Voice,1,39268
Coquet Trust,1,10000
Curious Arts,1,8930
D6: Culture in Transit,2,220500
DIGITAL MEDIA DISTRIBUTION LTD,1,80000
Dance City,1,564048
Dance North,1,76698
Dance North Ltd,1,564048
Digital Voice for Communities C.I.C,1,10000
Dynamo,1,5000
ECONOMIC RESEARCH SERVICES LIMITED,1,11478
Generator North East,2,317844
HEADLINE PICTURES LIMITED,1,31500
Hand Of Ltd,1,6000
Headliners (UK),1,193767
Holding-Hands (North East) Community Interest Company,1,10000
INEX MICROTECHNOLOGY LIMITED,2,967154.77
INPRESS LIMITED,2,322810
JAMES PLACE LIMITED,1,5000
Jewish Lads' And Girls' Brigade,1,74527
LIBERDADE COMMUNITY DEVELOPMENT TRUST,1,499999
Live Theatre,1,90000
MAKE YOUR WAY COMMUNITY INTEREST COMPANY,1,18752
Moving Parts Arts Cio,2,20000
NORTH BENWELL YOUTH PROJECT CIO,1,2500
New Writing North,4,943068
Newcastle City Council,4,5369472
Newcastle Creates Limited,1,14800
Newcastle Rugby Foundation,1,98500
Newcastle University,38,4415844.97
Newcastle u Tyn,2,6416296
North East Theatre Trust,3,1326510
Northern Print Studio Limited,1,9700
Northern Print Studio Ltd,3,667220
Northern Shape,1,63000
Northern Shape T/A Equal Arts,1,2000
Northern Stage,2,3024
Northumberland Wildlife Trust Limited,1,158600
Northumbria University,26,3596827.81
Pottery Bank Community Centre Ltd,1,46100
Poverty Solution Foundation,1,10000
Roma Right Path Project CIC,1,10000
SQDL t/a Boiler Shop,1,52600
ST. MARTIN'S CENTRE PARTNERSHIP,2,44230
ST. OSWALD'S HOSPICE LIMITED,1,3000
Scotswood Natural Community Garden,2,18079.5
Scotswood Natural Community Garden Limited,1,249800
Seven Stories - The National Centre for Children's Books,4,1289238.6800000002
Shoe Tree Arts,1,8500
St Anthony'S Youth Education And Support,1,9701
St. Teresa's RC Primary School,1,9900
Streetwise Young People's Project,3,34817.29
Success4All Cio,1,68957
THE COMMON ROOM OF THE GREAT NORTH LIMITED,3,5981909
THE NORTH OF ENGLAND REFUGEE SERVICE LIMITED,1,32500
The National Lottery Community Fund,4,24964154
The Natural History Society Of Northumbria,3,330804
The NewBridge Project,2,142576
"The Parochial Church Council of the Ecclesiastical Parish of St George, Jesmond.",1,163600
The University of Newcastle upon Tyne,1,9983
Think Tank,1,52500
Triangular Cio,1,58588
Tyne & Wear Archives & Museums Development Trust,1,191225
Tyne And Wear Building Preservation Trust Limited,2,581595
Tyne Theatre & Opera House,1,0
Tyne Theatre And Opera House Preservation Trust,1,242215
Tyne and Wear Archives and Museums,5,3600405
Tyne and Wear Building Preservation Trust Ltd,4,37311
Tyne and Wear Eritrean Community Association,1,9999
Tyneside Cinema,4,503599
Urban Green Newcastle,1,221077
Vane Contemporary Art Limited,1,61517
WEST END REFUGEE SERVICE (WERS),2,47034.8
WORKPLACE FOUNDATION,2,169971
West End Women and Girls Centre,4,14000
Workers' Educational Association,1,63165
a-n The Artists Information Company,5,948338
