Award Date,Number,Amount Awarded
2020-01-01,2,19900
2020-02-01,8,146424
2020-03-01,1,5000
2020-04-01,26,11258631
2020-05-01,8,253823
2020-06-01,3,194999
2020-09-01,1,79762
2020-10-01,6,1094821
2020-11-01,5,710300
2020-12-01,9,6206443
2021-01-01,4,717594
2021-02-01,3,758152
2021-03-01,1,15000
2021-04-01,4,15656298
2021-07-01,2,141925
2021-09-01,3,277725
2021-10-01,3,241729
2021-11-01,4,344026
2021-12-01,16,6638252
2022-01-01,3,399346
2022-02-01,4,112266
2022-03-01,7,2299897
2022-04-01,36,14952240
2022-05-01,3,612215
2022-06-01,3,115057
2022-07-01,4,404690
2022-08-01,1,110600
2022-11-01,1,1500
2022-12-01,1,0
2023-01-01,5,56042
2023-02-01,4,2327600
2023-03-01,2,77622
2023-05-01,1,63165
2023-06-01,3,335929
2023-07-01,2,143863
2023-08-01,1,10000
2023-10-01,2,19700
2023-11-01,4,474552
2023-12-01,1,9983
2024-02-01,1,10000
2024-03-01,3,168999
2024-05-01,1,236615
2024-06-01,1,76698
2024-09-01,1,437732
2024-12-01,3,557367
