Award Date,Number,Amount Awarded
2020-02-01,8,86285
2020-04-01,26,11258631
2020-05-01,8,253823
2020-06-01,3,194999
2020-07-01,1,17000
2020-08-01,1,242971
2020-09-01,2,322529
2020-10-01,12,2211772
2020-11-01,10,1278137
2020-12-01,10,6347573
2021-01-01,7,1033701
2021-02-01,4,767779
2021-03-01,6,875976
2021-04-01,2,9240002
2021-06-01,1,13436
2021-07-01,4,106258
2021-09-01,5,501474
2021-10-01,4,293423
2021-11-01,3,254026
2021-12-01,16,6730298
2022-01-01,4,436903
2022-02-01,5,140073
2022-03-01,9,2569605
2022-04-01,58,16089357
2022-05-01,2,370000
2022-06-01,2,3994
2022-07-01,2,304690
2022-11-01,2,862044
2022-12-01,1,0
2023-01-01,3,36350
2023-02-01,2,2014800
2023-03-01,2,77622
2023-07-01,1,0
2024-02-01,1,36539
2024-03-01,1,149000
2024-12-01,1,200000
